FACILITY NAME,Full Address,Street #,Street Name,Suite,City,Province,Postal Code,Ward,Performance,Exhibition / Visual Arts,Screen Based,Library,Multipurpose,Heritage,OWNERSHIP,,,
Jewel Envy,"101 Spadina Avenue, Suite 214, Toronto, ON, M5V 2K2",101,Spadina Avenue,Suite 214,Toronto,ON,M5V 2K2,20,,1,,,,,Owned by others,,,
Guru Studio,"110 Spadina Avenue, Suite 500, Toronto, ON, M5V 2K4",110,Spadina Avenue,Suite 500,Toronto,ON,M5V 2K4,20,,,1,,,1,Owned by others,,,
Cinecycle,"129 Spadina Avenue, Toronto, ON, M5V 2K8",129,Spadina Avenue,,Toronto,ON,M5V 2K8,20,,,1,,,,Owned by others,,,
Ackee Tree,"170 Spadina Avenue, Toronto, ON, M5T 2C2",170,Spadina Avenue,,Toronto,ON,M5T 2C2,20,1,,,,,,Owned by others,,,
Toronto Underground Cinema,"186 Spadina Avenue, Toronto, ON, M5T 3B2",186,Spadina Avenue,,Toronto,ON,M5T 3B2,20,,,1,,,,Owned by others,,,
"The Robertson Building (Centre for Social Innovation, Material Matters, PACT, TAPA, Theatre Ontario, Sustainability Network)","215 Spadina Avenue, Toronto, ON, M5T 2C7",215,Spadina Avenue,,Toronto,ON,M5T 2C7,20,1,,,,1,,Owned by others,,,
Grossman's Tavern,"379 Spadina Avenue, Toronto, ON, M5T 2G7",379,Spadina Avenue,,Toronto,ON,M5T 2G7,20,1,,,,,,Owned by others,,,
El Mocambo,"464 Spadina Avenue, Toronto, ON, M5T 2G8",464,Spadina Avenue,,Toronto,ON,M5T 2G8,20,1,1,,,,,Owned by others,,,
Silver Dollar,"486 Spadina Avenue, Toronto, ON, M5S 3E6",486,Spadina Avenue,,Toronto,ON,M5S 3E6,20,1,,,,1,,Owned by others,,,
St. Vladimir Institute,"620 Spadina Avenue, Toronto, ON, M5S 2H4",620,Spadina Avenue,,Toronto,ON,M5S 2H4,20,1,,,,,,Owned by others,,,
"Al Green Theatre, Miles Nadal Jewish Community Centre","750 Spadina Avenue, Toronto, ON, M5S 2J2",750,Spadina Avenue,,Toronto,ON,M5S 2J2,20,1,,1,,1,,Owned by others,,,
Spadina Road Branch (TPL),"10 Spadina Road, Toronto, ON, M5R 2S9",10,Spadina Road,,Toronto,ON,M5R 2S9,20,,,,1,,,City Operated,,,
Native Canadian Centre of Toronto,"16 Spadina Road, Toronto, ON, M5R 2S7",16,Spadina Road,,Toronto,ON,M5R 2S7,20,1,,,,1,1,Owned by others,,,
Alliance Francaise de Toronto (Pierre-Leon Downtown Gallery),"24 Spadina Road, Toronto, ON, M5R 2S7",24,Spadina Road,,Toronto,ON,M5R 2S7,20,1,1,,,1,,Owned by others,,,
Helen Gardiner Phelan Playhouse,"79 St. George Street, A, Toronto, ON, M5S 2E5",79,St. George Street,A,Toronto,ON,M5S 2E5,20,1,,,,,,Owned by others,,,
Newman Centre,"89 St. George Street, Toronto, ON, M5S 2E8",89,St. George Street,,Toronto,ON,M5S 2E8,20,,,,,1,1,City Owned,,,
CIUT 89.5 FM,"91 St. George Street, Toronto, ON, M5S 2E8",91,St. George Street,,Toronto,ON,M5S 2E8,20,,,1,,,1,Owned by others,,,
"Claude Bissell Building, University of Toronto","140 St. George Street, Toronto, ON, M5S 3G6",140,St. George Street,,Toronto,ON,M5S 3G6,20,,,,,1,1,Owned by others,,,
University Women's Club,"162 St. George Street, Toronto, ON, M5S 2E9",162,St. George Street,,Toronto,ON,M5S 2E9,20,,,,,1,,Owned by others,,,
Jackman Humanities Institute,"170 St. George Street, Toronto, ON, M5S 3C5",170,St. George Street,,Toronto,ON,M5S 3C5,20,1,,,,1,1,Owned by others,,,
Michener Institute Auditorium,"222 St. Patrick Street, Toronto, ON, M5T 1V4",222,St. Patrick Street,,Toronto,ON,M5T 1V4,20,1,,,,,,Owned by others,,,
"Innis College (Town Hall, Café, Screening Room)","2 Sussex Avenue, Toronto, ON, M5S 1J5",2,Sussex Avenue,,Toronto,ON,M5S 1J5,20,1,,,,1,,Owned by others,,,
The Cryptic Canvas,"8 Waterloo Terrace, Toronto, ON, M5V 3S4",8,Waterloo Terrace,,Toronto,ON,M5V 3S4,20,,1,,,,,Owned by others,,,
Wellington Street Art Gallery,"270 Wellington Street West, Toronto, ON, M5V3P5",270,Wellington Street West,,Toronto,ON,M5V3P5,20,,1,,,,,Owned by others,,,
Impatient Theatre Co. Studio,"439 Wellington Street West, Studio 206, Toronto, ON, M5V 1E7",439,Wellington Street West,Studio 206,Toronto,ON,M5V 1E7,20,1,,,,,,Owned by others,,,
Thompson Hotel Rooftop Lounge,"550 Wellington Street West, Toronto, ON, M5V 2V4",550,Wellington Street West,,Toronto,ON,M5V 2V4,20,,1,,,1,,Owned by others,,,
Institute of Women's Studies,"20 Willcocks Street, Toronto, ON, M5S 3G2",20,Willcocks Street,,Toronto,ON,M5S 3G2,20,,1,,,1,,Owned by others,,,
"New College, University of Toronto (William Doo Auditorium)","45 Willcocks Street, Toronto, ON, M5S 1C7",45,Willcocks Street,,Toronto,ON,M5S 1C7,20,1,,,,,,Owned by others,,,
Film Reference Library,"350 King Street West, 4th Floor, Toronto, ON, M5V 3X5",350,King Street West,4th Floor,Toronto,ON,M5V 3X5,20,,,1,,,,Owned by others,,,
Leo Baeck Day School (South Campus),"501 Arlington Avenue, Toronto, ON, M6C 3A4",501,Arlington Avenue,,Toronto,ON,M6C 3A4,21,,,,,1,,Owned by others,,,
Cedarvale Community School,"145 Ava Road, Toronto, ON, M6C 1W4",145,Ava Road,,Toronto,ON,M6C 1W4,21,1,,,,1,,Owned by others,,,
Hillcrest CC,"1339 Bathurst Street, Toronto, ON, M5R 3H6",1339,Bathurst Street,,Toronto,ON,M5R 3H6,21,,,,,1,,City Operated,,,
Laluque Atelier Gallery,"1362 Bathurst Street, Toronto, ON, M5R 3H7",1362,Bathurst Street,,Toronto,ON,M5R 3H7,21,1,,,,,,Owned by others,,,
Wychwood Branch + Library Theatre (TPL),"1431 Bathurst Street, Toronto, ON, M5R 3J2",1431,Bathurst Street,,Toronto,ON,M5R 3J2,21,,,,1,1,,City Operated,,,
St. Michael's College School Centre for the Arts,"1515 Bathurst Street, Toronto, ON, M5P 3H4",1515,Bathurst Street,,Toronto,ON,M5P 3H4,21,1,1,,,1,,Owned by others,,,
Beth Tzedec Congregation,"1700 Bathurst Street, Toronto, ON, M5P 3K3",1700,Bathurst Street,,Toronto,ON,M5P 3K3,21,,,,,1,,Owned by others,,,
Holy Blossom Temple,"1950 Bathurst Street, Toronto, ON, M5P 3K4",1950,Bathurst Street,,Toronto,ON,M5P 3K4,21,1,1,,,,1,Owned by others,,,
Muhtadi International Drumming Festival,"9 Benson Avenue, Toronto, ON, M6G 4C6",9,Benson Avenue,,Toronto,ON,M6G 4C6,21,1,,,,,,Owned by others,,,
Tarragon Theatre,"30 Bridgman Avenue, Toronto, ON, M5R 1X3",30,Bridgman Avenue,,Toronto,ON,M5R 1X3,21,1,,,,1,,Owned by others,,,
Humewood Community School,"15 Cherrywood Avenue, Toronto, ON, M6C 2X4",15,Cherrywood Avenue,,Toronto,ON,M6C 2X4,21,,,,,1,,Owned by others,,,
New Adventures in Sound Art,"601 Christie Street, Studio 252, Toronto, ON, M6G 4C6",601,Christie Street,Studio 252,Toronto,ON,M6G 4C6,21,,,,,,1,Owned by others,,,
Roadside Attractions,"911 Davenport Road, Toronto, ON, M6G 2B7",911,Davenport Road,,Toronto,ON,M6G 2B7,21,,1,,,,,Owned by others,,,
Toronto Don Valley Hotel & Suites,"175 Wynford Drive, Toronto, ON, M3C 1J3
",175,Wynford Drive,,Toronto,ON,"M3C 1J3
",21,,1,,,1,,Owned by others,,,
Don Valley Art Club/Forest Hill Art Club,"666 Eglinton Avenue West, Toronto, ON, M5N 1C3",666,Eglinton Avenue West,,Toronto,ON,M5N 1C3,21,,1,,,1,,Owned by others,,,
Forest Hill Branch (TPL),"700 Eglinton Avenue West, Toronto, ON, M5N 1B9",700,Eglinton Avenue West,,Toronto,ON,M5N 1B9,21,,,,1,,,City Owned,,,
Creative Vocalisation Studio,"707 Eglinton Avenue West, Suite 208, Toronto, ON, M5N 1C8",707,Eglinton Avenue West,Suite 208,Toronto,ON,M5N 1C8,21,1,,,,,,Owned by others,,,
The Judaica Centre,"897 Eglinton Avenue West, Toronto, ON, M6C 2C1",897,Eglinton Avenue West,,Toronto,ON,M6C 2C1,21,,,,,1,,Owned by others,,,
Petroff Gallery,"1016 Eglinton Avenue West, Toronto, ON, M6C 2C5",1016,Eglinton Avenue West,,Toronto,ON,M6C 2C5,21,,1,,,,,Owned by others,,,
The Fifth Sun Theatre,"84 Hillcrest Drive, Toronto, ON, M6G 2E6",84,Hillcrest Drive,,Toronto,ON,M6G 2E6,21,1,,,,,,Owned by others,,,
"George Brown College, Casa Loma Campus","160 Kendal Avenue, Toronto, ON, M5T 2T9",160,Kendal Avenue,,Toronto,ON,M5T 2T9,21,1,,1,,1,,Owned by others,,,
Fran Hill Gallery,"285 Rushton Road, Toronto, ON, M6C 2X5",285,Rushton Road,,Toronto,ON,M6C 2X5,21,1,,,,1,,Owned by others,,,
Davenport Branch (TPL),"1246 Shaw Street, Toronto, ON, M6G 3N9",1246,Shaw Street,,Toronto,ON,M6G 3N9,21,1,,,1,1,,City Owned,,,
Lonsdale Gallery,"410 Spadina Avenue, Toronto, ON, M5P 2W2",410,Spadina Avenue,,Toronto,ON,M5P 2W2,21,,1,,,,,Owned by others,,,
Art Interiors,"446 Spadina Avenue, Suite 203, Toronto, ON, M5P 3M2",446,Spadina Avenue,Suite 203,Toronto,ON,M5P 3M2,21,1,,,,,,Owned by others,,,
St. Michael & All Angels Church,"611 St. Clair Avenue West, Toronto, ON, MC6 1A3",611,St. Clair Avenue West,,Toronto,ON,MC6 1A3,21,,,1,,,1,Owned by others,,,
Mezzetta,"681 St. Clair Avenue West, Toronto, ON, M6C 1A7",681,St. Clair Avenue West,,Toronto,ON,M6C 1A7,21,1,1,,,,,Owned by others,,,
St. Matthews United Church,"729 St. Clair Avenue West, Toronto, ON, M6C 1B4",729,St. Clair Avenue West,,Toronto,ON,M6C 1B4,21,1,,,,1,1,Owned by others,,,
Dave's on St. Clair,"730 St. Clair Avenue West, Toronto, ON, M6C 1B3",730,St. Clair Avenue West,,Toronto,ON,M6C 1B3,21,1,,,,,,Owned by others,,,
Zemra,"778 St. Clair Avenue West, Toronto, ON, M6C 1B6",778,St. Clair Avenue West,,Toronto,ON,M6C 1B6,21,1,1,,,,,Owned by others,,,
Ellington's Music Cafe,"805 St. Clair Avenue West, Toronto, ON, M6C 1B9",805,St. Clair Avenue West,,Toronto,ON,M6C 1B9,21,1,,,,,,Owned by others,,,
Galleria 814,"814 St. Clair Avenue West, Toronto, ON, M6C 1B6",814,St. Clair Avenue West,,Toronto,ON,M6C 1B6,21,,1,,,,,Owned by others,,,
Vita Brevis Studio/Gallery,"50 Vaughan Road, Toronto, ON, M6G 2N4",50,Vaughan Road,,Toronto,ON,M6G 2N4,21,,1,1,,,,Owned by others,,,
Casa Loma Hunt Lodge,"328 Walmer Road, Toronto, ON, M5R 2Y4",328,Walmer Road,,Toronto,ON,M5R 2Y4,21,,,,,1,,City Owned,,,
Casa Loma Stables,"330 Walmer Road, Toronto, ON, M5R 2Y4",330,Walmer Road,,Toronto,ON,M5R 2Y4,21,,,,,1,,City Owned,,,
Artscape Wychwood Barns (Theatre Direct),"76 Wychwood Avenue, Toronto, ON, M6G 4C6",76,Wychwood Avenue,,Toronto,ON,M6G 4C6,21,1,1,,,1,1,City Owned,,,
Casa Loma,"1 Austin Terrace, Toronto, ON, M5R 1X8",1,Austin Terrace,,Toronto,ON,M5R 1X8,22,1,1,,,1,1,City Owned,,,
Brown Community Centre,"454 Avenue Road, Toronto, ON, M4V 2J1",454,Avenue Road,,Toronto,ON,M4V 2J1,22,,,,,1,,City Owned,,,
Avenue Road Arts School,"460 Avenue Road, Toronto, ON, M4V 2J1",460,Avenue Road,,Toronto,ON,M4V 2J1,22,1,1,,,1,,Owned by others,,,
Korean Consulate,"555 Avenue Road, Toronto, ON, M4V 2J7",555,Avenue Road,,Toronto,ON,M4V 2J7,22,1,1,,,1,,Owned by others,,,
Ballroom on Bayview Dancing Studio,"1578 Bayview Avenue, Suite 3, Toronto, ON, M4G 3B7",1578,Bayview Avenue,Suite 3,Toronto,ON,M4G 3B7,22,1,,,,,,Owned by others,,,
Marcia Rafelman Fine Arts,"10 Clarendon Avenue, Toronto, ON, M4V 1H9",10,Clarendon Avenue,,Toronto,ON,M4V 1H9,22,,1,,,,,Owned by others,,,
Maurice Cody Community Centre,"181 Cleveland Street, Toronto, ON, M4S 3C1",181,Cleveland Street,,Toronto,ON,M4S 3C1,22,,,,,1,,City Owned,,,
Calvin Presbyterian Church,"26 Delisle Avenue, Toronto, ON, M4V 1S5",26,Delisle Avenue,,Toronto,ON,M4V 1S5,22,1,,,,1,,Owned by others,,,
York Event Theatre,"101 Eglinton Avenue East, Toronto, ON, M4P 2H7
",101,Eglinton Avenue East,,Toronto,ON,"M4P 2H7
",22,1,,,,1,,Owned by others,,,
Central Eglinton Community Center,"160 Eglinton Avenue East, Toronto, ON, M4P 3B5",160,Eglinton Avenue East,,Toronto,ON,M4P 3B5,22,,,,,1,,Owned by others,,,
Unity Church of Toronto - Auditorium,"173 Eglinton Avenue West, Toronto, ON, M4R 1A8",173,Eglinton Avenue West,,Toronto,ON,M4R 1A8,22,1,,1,,1,,Owned by others,,,
Soraya Dancing,"562 Eglinton Avenue East, Toronto, ON, M4P 1P1",562,Eglinton Avenue East,,Toronto,ON,M4P 1P1,22,1,,,,,,Owned by others,,,
"De La Salle ""Oaklands"" Auditorium","131 Farnham Avenue, Toronto, ON, M4V 1H7",131,Farnham Avenue,,Toronto,ON,M4V 1H7,22,1,,,,,,Owned by others,,,
"Laidlaw Hall,  Upper Canada College","200 Lonsdale Road, Toronto, ON, M4V 1W6",200,Lonsdale Road,,Toronto,ON,M4V 1W6,22,1,,,,,,Owned by others,,,
Grace Church-on-the-Hill,"300 Lonsdale Road, Toronto, ON, M4V 1X4",300,Lonsdale Road,,Toronto,ON,M4V 1X4,22,1,,,,,,Owned by others,,,
Church of the Transfiguration,"111 Manor Road East, Toronto, ON, M4S 1R4",111,Manor Road East,,Toronto,ON,M4S 1R4,22,1,,,,,,Owned by others,,,
Al Green Sculpture Gallery,"64 Merton Street, Toronto, ON, M4S 1A1",64,Merton Street,,Toronto,ON,M4S 1A1,22,,1,,,,,Owned by others,,,
Regent Theatre,"551 Mount Pleasant Road, Toronto, ON, M4S 2M5",551,Mount Pleasant Road,,Toronto,ON,M4S 2M5,22,,,1,,,,Owned by others,,,
Mount Pleasant Branch (TPL),"599 Mount Pleasant Road, Toronto, ON, M4S 2M5",599,Mount Pleasant Road,,Toronto,ON,M4S 2M5,22,1,,,1,,,City Operated,,,
Pleasant Pottery,"566 Mount Pleasant Road, Toronto, ON, M4S 2M8",566,Mount Pleasant Road,,Toronto,ON,M4S 2M8,22,1,,,,,,Owned by others,,,
City of Toronto Archives,"255 Spadina Road, Toronto, ON, M5R 2V3",255,Spadina Road,,Toronto,ON,M5R 2V3,22,,1,,1,,,City Owned,,,
Spadina Museum: Historic House & Gardens,"285 Spadina Road, Toronto, ON, M5R 2V5",285,Spadina Road,,Toronto,ON,M5R 2V5,22,,1,,,,1,City Owned,,,
TYPE Books,"427 Spadina Road, Toronto, ON, M5P 2W3",427,Spadina Road,,Toronto,ON,M5P 2W3,22,1,,,,,,Owned by others,,,
Deer Park Branch (TPL),"40 St. Clair Avenue East, Toronto, ON, M4T 1M9",40,St. Clair Avenue East,,Toronto,ON,M4T 1M9,22,1,,,1,,,City Owned,,,
First Unitarian Congregation of Toronto,"175 St. Clair Avenue West, Toronto, ON, M4V 1P7",175,St. Clair Avenue West,,Toronto,ON,M4V 1P7,22,1,,1,,1,,Owned by others,,,
Timothy Eaton Memorial Church,"230 St. Clair Avenue West, Toronto, ON, M4V 1R5",230,St. Clair Avenue West,,Toronto,ON,M4V 1R5,22,1,,,,,,Owned by others,,,
Steps Dance Studio Inc.,"1216 Yonge Street, 2nd Floor, Toronto, ON, M4T 1W1",1216,Yonge Street,2nd Floor,Toronto,ON,M4T 1W1,22,1,,,,,,Owned by others,,,
The Drama Workshop,"1256 Yonge Street, Suite 100, Toronto, ON, M4T 1W5",1256,Yonge Street,Suite 100,Toronto,ON,M4T 1W5,22,1,,,,,,Owned by others,,,
Christ Church Deer Park,"1570 Yonge Street, Toronto, ON, M4T 1Z8",1570,Yonge Street,,Toronto,ON,M4T 1Z8,22,1,,,,,,Owned by others,,,
Yorkminster Park Baptist Church,"1585 Yonge Street, Toronto, ON, M4T 1Z9",1585,Yonge Street,,Toronto,ON,M4T 1Z9,22,1,,,,,,Owned by others,,,
Mysteriously Yours Dinner Theatre,"2026 Yonge Street, Toronto, ON, M4S 1Z9",2026,Yonge Street,,Toronto,ON,M4S 1Z9,22,1,,,,,,Owned by others,,,
Grano Restaurant,"2035 Yonge Street, Toronto, ON, M4S 2A2",2035,Yonge Street,,Toronto,ON,M4S 2A2,22,,,,,1,,Owned by others,,,
Famous Players Canada Square,"2190 Yonge Street, Toronto, ON, M4R 2H1",2190,Yonge Street,,Toronto,ON,M4R 2H1,22,,,1,,,,Owned by others,,,
6 Degrees Event Centre,"2335 Yonge Street, Toronto, ON, M4P 2C8",2335,Yonge Street,,Toronto,ON,M4P 2C8,22,1,,,,,,Owned by others,,,
Beth Tikvah Synagogue,"3080 Bayview Avenue, Toronto, ON, M2N 5L3",3080,Bayview Avenue,,Toronto,ON,M2N 5L3,23,1,,,,1,,Owned by others,,,
Lansing United Church,"49 Bogert Avenue, Toronto, ON, M2N 1K4",49,Bogert Avenue,,Toronto,ON,M2N 1K4,23,1,,,,1,,Owned by others,,,
Mitchell Field Community Centre,"89 Church Avenue, Toronto, ON, M2N 6C9",89,Church Avenue,,Toronto,ON,M2N 6C9,23,1,,,,1,,City Owned,,,
St. Edward's Church Hall,"75 Churchill Avenue, Toronto, ON, M2N 1Y9",75,Churchill Avenue,,Toronto,ON,M2N 1Y9,23,1,,,,1,,Owned by others,,,
Willowdale Presbyterian Church,"38 Ellerslie Avenue, Toronto, ON, M2N 1X8",38,Ellerslie Avenue,,Toronto,ON,M2N 1X8,23,1,,,,1,,Owned by others,,,
Edithvale Community Centre,"131 Finch Avenue West, Toronto, ON, M2N 2H8",131,Finch Avenue West,,Toronto,ON,M2N 2H8,23,1,1,,,1,,City Owned,,,
Goulding Community Centre,"45 Goulding Avenue, Toronto, ON, M2M 1K8",45,Goulding Avenue,,Toronto,ON,M2M 1K8,23,,,,,1,,City Owned,,,
Cardinal Carter Academy for the Arts,"36 Greenfield Avenue, Toronto, ON, M2N 3C8",36,Greenfield Avenue,,Toronto,ON,M2N 3C8,23,1,,,,1,,Owned by others,,,
Guildwood Branch (TPL),"123 Guildwood Parkway, Toronto, ON, M1E 4V2",123,Guildwood Parkway,,Toronto,ON,M1E 4V2,23,,,,1,,,City Operated,,,
Willowdale United Church,"349 Kenneth Avenue, Toronto, ON, M2N 4V9",349,Kenneth Avenue,,Toronto,ON,M2N 4V9,23,1,,,,1,,Owned by others,,,
"Ontario Historical Society, John McKenzie House","34 Parkview Avenue, Toronto, ON, M2N 3Y2",34,Parkview Avenue,,Toronto,ON,M2N 3Y2,23,,1,,,,1,City Owned,,,
Earl Haig Secondary School (Cringan Hall),"100 Princess Avenue, Toronto, ON, M2N 3R7",100,Princess Avenue,,Toronto,ON,M2N 3R7,23,1,,,,1,,Owned by others,,,
Metro Separate School Board Auditorium,"80 Sheppard Avenue East, Toronto, ON, M2N 6E8",80,Sheppard Avenue East,,Toronto,ON,M2N 6E8,23,1,,,,1,,Owned by others,,,
St. Elizabeth of Hungary R.C. Church,"432 Sheppard Avenue East, Toronto, ON, M2N 3B7",432,Sheppard Avenue East,,Toronto,ON,M2N 3B7,23,1,,,,1,,Owned by others,,,
Alliance Francaise de Toronto (North Campus),"95 Sheppard Avenue West, Toronto, ON, M2N 1M4",95,Sheppard Avenue West,,Toronto,ON,M2N 1M4,23,,1,,,,,Owned by others,,,
Office of the Consulate General of the Republic of Trinidad and Tobago,"185 Sheppard Avenue West, Toronto, ON, M2N 1M9",185,Sheppard Avenue West,,Toronto,ON,M2N 1M9,23,1,1,,,,,Owned by others,,,
Spring Garden Baptist Church,"112 Spring Garden Avenue, Toronto, ON, M2N 3G3",112,Spring Garden Avenue,,Toronto,ON,M2N 3G3,23,1,,,,1,,Owned by others,,,
Solar Stage Children's Theatre,"4950 Yonge Street, Toronto, ON, M2N 6K1",4950,Yonge Street,,Toronto,ON,M2N 6K1,23,1,,,,,,Owned by others,,,
Toronto Centre for the Arts,"5040 Yonge Street, Toronto, ON, M2N 6R8",5040,Yonge Street,,Toronto,ON,M2N 6R8,23,1,,,,1,,City Owned,,,
North York Civic Centre (Mel Lastman Square),"5100 Yonge Street, Toronto, ON, M2N 5V7",5100,Yonge Street,,Toronto,ON,M2N 5V7,23,1,,,,1,,City Owned,,,
North York Memorial Hall,"5110 Yonge Street, Toronto, ON, M2N 5V7",5110,Yonge Street,,Toronto,ON,M2N 5V7,23,1,,,,1,,City Owned,,,
North York Central Branch (TPL),"5120 Yonge Street, Toronto, ON, M2N 5N9",5120,Yonge Street,,Toronto,ON,M2N 5N9,23,1,1,,1,1,,City Owned,,,
David Gibson House Museum,"5172 Yonge Street, Toronto, ON, M2N 5P6",5172,Yonge Street,,Toronto,ON,M2N 5P6,23,,1,,,,1,City Owned,,,
St. George's Anglican Church,"5350 Yonge Street, Toronto, ON, M2N 2N1",5350,Yonge Street,,Toronto,ON,M2N 2N1,23,1,,,,1,,Owned by others,,,
Bayview Branch (TPL),"2901 Bayview Avenue, Toronto, ON, M2K 1E6",2901,Bayview Avenue,,Toronto,ON,M2K 1E6,24,,,,1,,,City operated,,,
The Grande Luxe Event Boutique,"3125 Bayview Avenue, Toronto, ON, M2K 1G2",3125,Bayview Avenue,,Toronto,ON,M2K 1G2,24,1,,,,1,,Owned by others,,,
Sisterhood of St. John The Divine,"233 Cummer Avenue, Toronto, ON, M2M 2E8",233,Cummer Avenue,,Toronto,ON,M2M 2E8,24,1,,,,1,,Owned by others,,,
Willowdale Pentecostal Church,"288 Cummer Avenue, Toronto, ON, M2M 2E7",288,Cummer Avenue,,Toronto,ON,M2M 2E7,24,1,,,,1,,Owned by others,,,
Zion Church Cultural Centre,"1650 Finch Avenue East, Toronto, ON, M2J 4X9",1650,Finch Avenue East,,Toronto,ON,M2J 4X9,24,1,,,,1,,City Owned,,,
Forest Grove United Church,"43 Forest Grove Drive, Toronto, ON, M2K 1Z4",43,Forest Grove Drive,,Toronto,ON,M2K 1Z4,24,1,,,,1,,Owned by others,,,
Hillcrest Branch (Library),"5801 Leslie Street, Toronto, ON, M2H 1J8",5801,Leslie Street,,Toronto,ON,M2H 1J8,24,1,,,1,,,City Owned,,,
Cummer Park Community Centre,"6000 Leslie Street, Toronto, ON, M2H 1J9",6000,Leslie Street,,Toronto,ON,M2H 1J9,24,,,,,1,,City Owned,,,
Seneca Village Community Centre,"1700 Finch Avenue East, Toronto, ON, M2J 4X8",1700,Finch Avenue East,,Toronto,ON,M2J 4X8,24,,,,,1,,City Owned,,,
Banbury  Community Centre,"120 Banbury Road, Toronto, ON, M3B 2L3 
",120,Banbury Road,,Toronto,ON,"M3B 2L3 
",25,,,,,1,,City Owned,,,
Etienne Brule High School,"300 Banbury Road, Toronto, ON, M2L 2V3",300,Banbury Road,,Toronto,ON,M2L 2V3,25,1,,,,,,Owned by others,,,
Windfield Junior High School,"375 Banbury Road, Toronto, ON, M2L 2V2",375,Banbury Road,,Toronto,ON,M2L 2V2,25,1,,,,,,Owned by others,,,
Lawrence Park Community Church,"2180 Bayview Avenue, Toronto, ON, M4N 3K7",2180,Bayview Avenue,,Toronto,ON,M4N 3K7,25,1,,,,,,Owned by others,,,
"Glendon Gallery and Theatre, York University","2275 Bayview Avenue, Toronto, ON, M4N 3M6",2275,Bayview Avenue,,Toronto,ON,M4N 3M6,25,1,1,1,,1,,Owned by others,,,
Crescent School (Centre for Creative Learning Theatre),"2365 Bayview Avenue, Toronto, ON, M2L 1A2",2365,Bayview Avenue,,Toronto,ON,M2L 1A2,25,1,,,,1,,Owned by others,,,
Canadian Film Centre,"2489 Bayview Avenue, Toronto, ON, M2L 1A8",2489,Bayview Avenue,,Toronto,ON,M2L 1A8,25,,,1,,,,City Owned,,,
Oriole - York Mills United Church,"2609 Bayview Avenue, Toronto, ON, M2L 1B5",2609,Bayview Avenue,,Toronto,ON,M2L 1B5,25,1,,,,,,Owned by others,,,
Kehillat Shaarei Torah,"2640 Bayview Avenue, Toronto, ON, M2L 1B7",2640,Bayview Avenue,,Toronto,ON,M2L 1B7,25,1,,,,,,Owned by others,,,
Trinity Presbyterian Church,"2737 Bayview Avenue, Toronto, ON, M2L 1C5",2737,Bayview Avenue,,Toronto,ON,M2L 1C5,25,1,,,,,,Owned by others,,,
Blythwood Road Baptist Church,"80 Blythwood Road, Toronto, ON, M4N 1A4",80,Blythwood Road,,Toronto,ON,M4N 1A4,25,1,,,,,,Owned by others,,,
St. John's York Mills Anglican Church,"19 Don Ridge Drive, Toronto, ON, M2P 1H3",19,Don Ridge Drive,,Toronto,ON,M2P 1H3,25,1,,,,,,Owned by others,,,
"The Fairlawn Neighbourhood Centre
","28 Fairlawn Avenue, Toronto, ON, M5M 1S7
",28,Fairlawn Avenue,,Toronto,ON,"M5M 1S7
",25,1,1,,,1,,Owned by others,,,
Toronto French School,"306 Lawrence Avenue East, Toronto, ON, M4N 1T7",306,Lawrence Avenue East,,Toronto,ON,M4N 1T7,25,,,,,1,,Owned by others,,,
Toronto Botanical Garden,"777 Lawrence Avenue East, Toronto, ON, M3C 1P2",777,Lawrence Avenue East,,Toronto,ON,M3C 1P2,25,1,1,,,1,,Owned by others,,,
Don Mills Branch (TPL),"888 Lawrence Avenue East, Toronto, ON, M3C 1P6",888,Lawrence Avenue East,,Toronto,ON,M3C 1P6,25,1,,,1,,,City Owned,,,
"Korean Cultural Centre (Community Centre, Dance Studio)","1133 Leslie Street, Toronto, ON, M3C 2J6",1133,Leslie Street,,Toronto,ON,M3C 2J6,25,1,,,,1,,Owned by others,,,
St. Bonaventure Parish Centre,"1300 Leslie Street, Toronto, ON, M3C 2K9",1300,Leslie Street,,Toronto,ON,M3C 2K9,25,1,,,,,,Owned by others,,,
Rosedale Golf Club,"1901 Mount Pleasant Road, Toronto, ON, M4N 2W3",1901,Mount Pleasant Road,,Toronto,ON,M4N 2W3,25,,,,,1,,Owned by others,,,
Temple Emanu-El,"120 Old Colony Road, Toronto, ON, M2L 2K2",120,Old Colony Road,,Toronto,ON,M2L 2K2,25,,,,,1,,Owned by others,,,
Agricola Lutheran Church,"25 Old York Mills Road, Toronto, ON, M2P 1B5",25,Old York Mills Road,,Toronto,ON,M2P 1B5,25,1,,,,1,,Owned by others,,,
Church of the Ascension,"33 Overland Drive, Toronto, ON, M3C 2C3",33,Overland Drive,,Toronto,ON,M3C 2C3,25,1,,,,,,Owned by others,,,
Lawrence Park Community Church,"2180 Bayview Avenue, Toronto, ON, M4N 3K7",2180,Bayview Avenue,,Toronto,ON,M4N 3K7,25,1,,,,1,,Owned by others,,,
Bedford Park Community Centre,"81 Ranleigh Avenue, Toronto, ON, M4N 1X2",81,Ranleigh Avenue,,Toronto,ON,M4N 1X2,25,,,,,1,,City Owned,,,
St. Leonard's Anglican Church,"25 Wanless Avenue, Toronto, ON, M4N 1V5",25,Wanless Avenue,,Toronto,ON,M4N 1V5,25,1,,,,,,Owned by others,,,
